index,lastNameEn,lastNameGe,count
261,papidze,პაპიძე,1978
262,khalvashi,ხალვაში,1967
263,lursmanashvili,ლურსმანაშვილი,1967
264,basiladze,ბასილაძე,1959
265,qarchava,ქარჩავა,1949
266,shvelidze,შველიძე,1945
267,gogua,გოგუა,1942
268,khipshidze,ყიფშიძე,1941
269,skhirtladze,სხირტლაძე,1935
270,gvenetadze,გვენეტაძე,1932
271,tsaava,ცაავა,1924
272,mushkudiani,მუშკუდიანი,1921
273,chakvetadze,ჩაკვეტაძე,1919
274,shanidze,შანიძე,1918
275,gvelesiani,გველესიანი,1917
276,inasaridze,ინასარიძე,1912
277,natroshvili,ნატროშვილი,1910
278,vekua,ვეკუა,1905
279,shelia,შელია,1904
280,valievi,ვალიევი,1902
281,shatirishvili,შათირიშვილი,1901
282,bukia,ბუკია,1897
283,khatchapuridze,ხაჭაპურიძე,1892
284,koberidze,კობერიძე,1890
285,popkhadze,ფოფხაძე,1885
286,demetrashvili,დემეტრაშვილი,1885
287,tchitanava,ჭითანავა,1880
288,butskhrikidze,ბუცხრიკიძე,1871
289,tchaghalidze,ჭაღალიძე,1869
290,jgharkava,ჯღარკავა,1869
291,merabishvili,მერაბიშვილი,1863
292,qartsivadze,ქარცივაძე,1860
293,akhaladze,ახალაძე,1860
294,kakhadze,კახაძე,1854
295,sopromadze,სოფრომაძე,1854
296,giorgobiani,გიორგობიანი,1853
297,silagadze,სილაგაძე,1846
298,tedoradze,თედორაძე,1845
299,khizanishvili,ხიზანიშვილი,1845
300,sulaberidze,სულაბერიძე,1840
301,miminoshvili,მიმინოშვილი,1839
302,varshanidze,ვარშანიძე,1835
303,kakulia,კაკულია,1833
304,mamuladze,მამულაძე,1832
305,adamia,ადამია,1828
306,aladashvili,ალადაშვილი,1827
307,kintsurashvili,კინწურაშვილი,1827
308,kharebava,ხარებავა,1822
309,tsulukidze,წულუკიძე,1821
310,nizharadze,ნიჟარაძე,1813
311,kikvadze,კიკვაძე,1812
312,zarqua,ზარქუა,1808
313,avaliani,ავალიანი,1808
314,kevlishvili,კევლიშვილი,1806
315,kutchava,კუჭავა,1806
316,kvirikashvili,კვირიკაშვილი,1787
317,zarandia,ზარანდია,1785
318,kirkitadze,კირკიტაძე,1783
319,kokhreidze,კოხრეიძე,1778
320,qoridze,ქორიძე,1772
321,begiashvili,ბეგიაშვილი,1769
322,kilasonia,კილასონია,1768
323,mosiashvili,მოსიაშვილი,1765
324,kalandia,კალანდია,1762
325,kirvalidze,კირვალიძე,1762
326,gotsiridze,გოცირიძე,1761
327,nikolaishvili,ნიკოლაიშვილი,1756
328,bokuchava,ბოკუჩავა,1751
329,nemsadze,ნემსაძე,1749
330,antadze,ანთაძე,1749
331,meliqidze,მელიქიძე,1748
332,devidze,დევიძე,1745
333,chinchaladze,ჩინჩალაძე,1745
334,petrosiani,პეტროსიანი,1744
335,gumberidze,გუმბერიძე,1743
336,kvirkvelia,კვირკველია,1742
337,tabagari,თაბაგარი,1739
338,naskhidashvili,ნასყიდაშვილი,1735
339,rogava,როგავა,1733
340,simonishvili,სიმონიშვილი,1732
341,tchintcharauli,ჭინჭარაული,1732
342,pirtskhalava,ფირცხალავა,1731
343,bezhanishvili,ბეჟანიშვილი,1724
344,akhobadze,ახობაძე,1723
345,arutinovi,არუთინოვი,1721
346,khavelashvili,ყაველაშვილი,1718
347,kopadze,კოპაძე,1709
348,khorava,ხორავა,1704
349,saluqvadze,სალუქვაძე,1704
350,gulua,გულუა,1703
351,tchitchinadze,ჭიჭინაძე,1689
352,berianidze,ბერიანიძე,1687
353,burjanadze,ბურჯანაძე,1687
354,iashvili,იაშვილი,1677
355,shamatava,შამათავა,1676
356,vasadze,ვასაძე,1675
357,baliashvili,ბალიაშვილი,1672
358,alania,ალანია,1662
359,papashvili,პაპაშვილი,1657
360,iremashvili,ირემაშვილი,1651
361,benidze,ბენიძე,1650
362,zedginidze,ზედგინიძე,1648
363,ghurtskaia,ღურწკაია,1644
364,lobjanidze,ლობჯანიძე,1643
365,elizbarashvili,ელიზბარაშვილი,1639
366,akopian,აკოფიან,1636
367,basilashvili,ბასილაშვილი,1633
368,archvadze,არჩვაძე,1633
369,kvantaliani,კვანტალიანი,1632
370,otarashvili,ოთარაშვილი,1630
371,shamugia,შამუგია,1627
372,margvelashvili,მარგველაშვილი,1626
373,mgaloblishvili,მგალობლიშვილი,1623
374,mustapaevi,მუსტაფაევი,1621
375,dzidziguri,ძიძიგური,1614
376,qurdadze,ქურდაძე,1611
377,partenadze,ფარტენაძე,1609
378,valieva,ვალიევა,1603
379,kharazishvili,ხარაზიშვილი,1600
380,gogsadze,გოგსაძე,1595
381,gabritchidze,გაბრიჭიძე,1593
382,kharchilava,ხარჩილავა,1592
383,gobejishvili,გობეჯიშვილი,1587
384,kuprashvili,კუპრაშვილი,1585
385,khetsuriani,ხეცურიანი,1583
386,qamadadze,ქამადაძე,1576
387,khachaturiani,ხაჩატურიანი,1575
388,gajievi,გაჯიევი,1573
389,iluridze,ილურიძე,1569
390,turashvili,ტურაშვილი,1569
391,qevkhishvili,ქევხიშვილი,1568
392,arabidze,არაბიძე,1567
393,vardosanidze,ვარდოსანიძე,1567
394,bregadze,ბრეგაძე,1564
395,sirbiladze,სირბილაძე,1564
396,zaridze,ზარიძე,1563
397,jaiani,ჯაიანი,1562
398,papuashvili,პაპუაშვილი,1562
399,kharabadze,ხარაბაძე,1558
400,kekelidze,კეკელიძე,1558
401,rostiashvili,როსტიაშვილი,1557
402,mazmishvili,მაზმიშვილი,1553
403,nutsubidze,ნუცუბიძე,1551
404,mamaladze,მამალაძე,1545
405,tsomaia,ცომაია,1545
406,partsvania,ფარცვანია,1543
407,tchanturidze,ჭანტურიძე,1542
408,kurbanovi,კურბანოვი,1540
409,lataria,ლატარია,1536
410,berulava,ბერულავა,1527
411,gogichaishvili,გოგიჩაიშვილი,1523
412,tkhebuchava,ტყებუჩავა,1523
413,mustapaeva,მუსტაფაევა,1521
414,pataraia,პატარაია,1519
415,andghuladze,ანდღულაძე,1515
416,qantaria,ქანთარია,1512
417,meliqishvili,მელიქიშვილი,1506
418,niqabadze,ნიქაბაძე,1505
419,buchukuri,ბუჩუკური,1500
420,shekhiladze,შეყილაძე,1499
421,ghvinjilia,ღვინჯილია,1493
422,elbaqidze,ელბაქიძე,1493
423,enuqidze,ენუქიძე,1492
424,kakauridze,კაკაურიძე,1492
425,aduashvili,ადუაშვილი,1486
426,revazishvili,რევაზიშვილი,1486
427,grdzelishvili,გრძელიშვილი,1486
428,tsartsidze,ცარციძე,1478
429,gajieva,გაჯიევა,1476
430,gvazava,გვაზავა,1471
431,karapetiani,კარაპეტიანი,1470
432,neparidze,ნეფარიძე,1469
433,urushadze,ურუშაძე,1464
434,miqaberidze,მიქაბერიძე,1460
435,kobaidze,კობაიძე,1459
436,kvernadze,კვერნაძე,1459
437,narimanidze,ნარიმანიძე,1455
438,oqruashvili,ოქრუაშვილი,1455
439,machitidze,მაჩიტიძე,1454
440,pitskhelauri,ფიცხელაური,1446
441,suleimanovi,სულეიმანოვი,1445
442,shukakidze,შუკაკიძე,1445
443,isaevi,ისაევი,1438
444,tsanava,ცანავა,1437
445,otiashvili,ოთიაშვილი,1437
