rus,en,matched
Прокис,Prokis,ფროსია
Габрига,Gabriga,გაბრიელ
Дзудза,Dzudza,ძაძუ
Теопиль,Teopil,თეოფილე
Шимшан,SHimshan,შირხან
Драй,Drai,რატი
Гергеи,Gergei,სერგეი
Качвин,Kachvin,ლაჩინ
Калени,Kaleni,კარენი
Гиорди,Giordi,გიორგი
Каргин,Kargin,ნარგიზ
Аристогас,Aristogas,არისტოტელ
Канитян,Kanityan,კაითან
Месин,Mesin,მეთინ
Умая,Umaya,მაკა
Комбар,Kombar,კამბარ
Антанин,Antanin,ანტანინა
Хапик,Hapik,რაფიკ
Ивлионе,Ivlione,ივლიანე
Артчи,Artchi,არჩილ
Адамко,Adamko,ადამო
Кошкард,Koshkard,კოშკარ
Саеткул,Saetkul,ნატრულ
Файдус,Faidus,საიდა
Еприк,Eprik,ერიკ
Мнецакан,Mnecakan,მნაცაკან
Иллакрий,Illakrii,ილგარი
Шарнал,SHarnal,შაბნამ
Арлан,Arlan,ასლან
Исхаре,Ishare,შარე
Калидон,Kalidon,კაპიტონ
Мегран,Megran,მიგრან
Зелено,Zeleno,ელენა
Алуба,Aluba,ლუბა
Косандейзит,Kosandeizit,კანდიტ
Асис,Asis,ასია
Арвен,Arven,არმენ
Ивлиан (Владимир),Ivlian (Vladimir),ვლადიმირ
Мамгу,Mamgu,მამია
Кахет,Kahet,კარენ
Иполий,Ipolii,იპოლიტ
Бина-ага,Bina-aga,ზინაიდა
Ширими,SHirimi,შირიმი
Галяктион,Galyaktion,გალაქტიონ
Оропир,Oropir,ოქროპირ
Гугулия,Guguliya,გუგული
Амбаруин,Ambaruin,მარტინ
Кристос,Kristos,ხრისტოს
Иоло,Iolo,ილო
Ханамира,Hanamira,ნამირა
Савтар,Savtar,სავთარ
Вагагай,Vagagai,გაგა
Али-хан,Ali-han,ალიხან
Акир,Akir,აკიფ
Арманяк,Armanyak,არმენაკ
Пантен,Panten,პართენ
Сарафил,Sarafil,სარაია
Аскербы,Askerbi,ასკერ
Лодика,Lodika,დოდიკა
Генеди,Genedi,გენადი
Маитре,Maitre,მათე
Меслоп,Meslop,მესროფ
Энтим,Entim,ენდი
Георгий (Леон),Georgii (Leon),გეორგიოს
Айрант,Airant,ამირან
Армалуз,Armaluz,არმაზ
Фирце,Firce,ირმა
Крипези (Бочия),Kripezi (Bochiya),ბოჩია
Калантиен,Kalantien,გალაქტიონ
Худеберде,Hudeberde,ხუდავერდი
Гафро,Gafro,გაბრო
Вазетинг,Vazeting,ვახტანგ
Суликов,Sulikov,გულიკო
Алиес,Alies,ალფეს
Хахар,Hahar,ჰაჯარ
Влодимер,Vlodimer,ვლადიმერ
Николай (Джаргия),Nikolai (Dzhargiya),ნიკოლოზი
Акруа,Akrua,არა
Мотапиловичи,Motapilovichi,მალვინა
Вектор,Vektor,ვიკტორ
Исхванди,Ishvandi,ქიშვარდი
Корпил,Korpil,პორფილე
Сарсис,Sarsis,სარქის
Джори Саид,Dzhori Said,ჟორესი
Другу,Drugu,დურუ
Сол.,Sol.,სოსო
Магалад,Magalad,მაგალა
Мюхаль,Myuhal,მახალ
Агамалы,Agamali,აგამალი
Субе,Sube,ლუბა
Шай-Исмаил,SHai-Ismail,შახისმაილ
Андрикин,Andrikin,ანდრანიკ
Шадиман-оглы,SHadiman-ogli,შადიმანი
Астаты,Astati,ასმათი
Щото,SH'oto,შოთა
Базык,Bazik,ნაზიკ
Илипант,Ilipant,ოლიფანტე
Тонто,Tonto,ლონთო
Кхтисо,Khtiso,ხვთისო
Маммед-оглы,Mammed-ogli,მამედალი
Алдрошек,Aldroshek,ალიოშა
Автико,Avtiko,ათიკო
Элит,Elit,ელიტა
Пинтон,Pinton,ანტონ
Грамите,Gramite,გრამიტო
Толсун,Tolsun,გულსუნ
Амраш,Amrash,ამრახ
Шго,SHgo,შიო
Теймур Мамед,Teimur Mamed,თეიმურაზ
Бод.,Bod.,ბონდო
Магомут,Magomut,მაგომედ
Абесман,Abesman,ბესლან
Эриг,Erig,ერიკ
Владимир (Свимон),Vladimir (Svimon),ვლადიმირი
Миброс,Mibros,მირო
Калиста,Kalista,კალისტა
Авестис,Avestis,ავეტის
Мослид,Moslid,მოვლუდ
Аресий,Aresii,არევიკ
Маамед,Maamed,მამედ
Вардом,Vardom,ვარდო
Верлем,Verlem,ვარლამ
Джидиер,Dzhidier,ხიდირ
Амит-оглы,Amit-ogli,ანატოლი
Аятан,Ayatan,აითან
Айпат,Aipat,აფათ
Зинад,Zinad,ზინა
Мурадун,Muradun,მურადინ
Абес,Abes,აბელ
Самер,Samer,სამირ
Мулико,Muliko,გულიკო
Висарион (Виссарион),Visarion (Vissarion),ვისარიონ
Омир,Omir,ომირ
Грашта,Grashta,გრაშა
Копри,Kopri,კოკი
Лалико,Laliko,ლალიკო
Шагман,SHagman,შამან
Николь,Nikol,ნიკო
Мез,Mez,თეა
Артай,Artai,არტაკ
Таджердин,Tadzherdin,რაჟდინ
Биузима,Biuzima,ბიძინა
Арзо,Arzo,არზუ
Мели,Meli,მეგი
Северзян,Severzyan,სევერიან
Кансар,Kansar,კამსარ
Ромен,Romen,რომენ
Карген,Kargen,კარენ
Валодя (Владимир),Valodya (Vladimir),ვლადიმირ
Калк,Kalk,კალე
Вени,Veni,ჯენი
Калакрен,Kalakren,კარენ
Пашико,Pashiko,მაშიკო
Ефлат,Eflat,ელა
Топаган,Topagan,ფაგან
Гусими,Gusimi,გურამი
Могардич,Mogardich,მკრტიჩ
Серопнон,Seropnon,სერაპიონ
Пио,Pio,გიო
Ламза,Lamza,ლამია
Гагерин,Gagerin,გარეგინ
Грикарп,Grikarp,გრიკორ
Садыч,Sadich,სადიხ
Евграофи,Evgraofi,ევგრაფი
Америд,Amerid,ამერიდო
Вонжаик,Vonzhaik,ანჟიკ
Иссая,Issaya,ისაკა
Пытон,Piton,ფილონ
Ясор,YAsor,იასონ
Алазверди-оглы,Alazverdi-ogli,ალავერდი
Амбарким,Ambarkim,ამბერკი
Тарико,Tariko,დარიკო
Джалдар,Dzhaldar,აჟდარ
Огмал,Ogmal,ჯემალ
Вадига,Vadiga,სადიგა
Амирия,Amiriya,ამირა
Ками-оглы,Kami-ogli,კამილა
Огнез,Ognez,ოგანეზ
Мительгович,Mitelgovich,მელორი
Артоль,Artol,არტო
Барду,Bardu,ბადუ
Ашанлус,Ashanlus,არშალუს
Хусем,Husem,ჰუსეინ
Даш,Dash,დაშა
Вакил (Вахил),Vakil (Vahil),ვასილი
Вехтов,Vehtov,ქეთო
Атамос,Atamos,ათამ
Ваникол,Vanikol,ვანიკო
Нурсан,Nursan,ნურლან
Шафкят,SHafkyat,შოვკატ
Шарв.,SHarv.,შალვა
Гашиша,Gashisha,უშიშა
Аведип,Avedip,ავედიკ
Кумбай,Kumbai,კურბან
Крест,Krest,ორესტ
Сары Осман-оглы,Sari Osman-ogli,რომანოზი
Кудзигуш,Kudzigush,კუნკუშ
Мусадим,Musadim,მუსალიმ
Тефре,Tefre,პეტრე
Пудвий,Pudvii,ლუდვიგ
Тракли,Trakli,ირაკლი
Исюм,Isyum,ისლამ
Клим.,Klim.,ალიმ
Шамап,SHamap,შარაფ
Инани,Inani,ნანი
Шаличер,SHalicher,შალერ
Полита,Polita,ლოლიტა
Атасим,Atasim,აგასიმ
Мавлюд Оглы,Mavlyud Ogli,მევლუდი
Шаншель,SHanshel,შანშე
Елат,Elat,ელა
Ефге,Efge,ელგა
Микаэм,Mikaem,მიკაელ
Радиш,Radish,რადიშა
Саргак,Sargak,სპარტაკ
Булет,Bulet,ჯულეტა
Айхазан,Aihazan,მაირაზან
Исраим,Israim,იბრაიმ
Ленгинос,Lenginos,ლონგინოზ
Илило,Ililo,ილიკო
Куакуана,Kuakuana,შახანა
Варяш,Varyash,არტაშ
Иона (Иван),Iona (Ivan),ნარიმან
Хосия,Hosiya,ტოსია
Бинат оглы,Binat ogli,ანატოლი
Тогла,Togla,გოგლა
Ованс,Ovans,ოვანეს
Аргип.,Argip.,არიფ
Аватис,Avatis,ავეტის
Евхитим,Evhitim,ივდითი
Сапори,Sapori,საფირა
Эдишив,Edishiv,ედიშერ
Дамед,Damed,მამედ
Нурин,Nurin,ნური
Осван,Osvan,ოსმან
Аласьяр,Alasyar,ალასკარ
Майбин,Maibin,აიდინ
Курам,Kuram,გურამ
Гарант,Garant,გრანტ
Исафа,Isafa,ისაკა
Ходз,Hodz,ჯოდო
Мейби-оглы,Meibi-ogli,მელიტონი
Багрти,Bagrti,ბაგრატი
Мамикай,Mamikai,მამიკა
Манурка,Manurka,მამუკა
Винамин,Vinamin,ვენიამინ
Аврошак,Avroshak,არშაკ
Мокадо,Mokado,მოკოდი
Мреоз,Mreoz,მრაზ
Никтариоз,Niktarioz,ნექტარიოზ
Мириам,Miriam,მირიამ
Георгий (Гори),Georgii (Gori),გრიგორი
Тенгиза,Tengiza,თენგიზა
Мло,Mlo,ილო
Геогрий,Geogrii,გეორგი
Солеко,Soleko,სოლიკო
Гор...,Gor...,გორდა
Константо,Konstanto,კონსტანტინ
Гико,Giko,გიზო
Алексей (Арутюн),Aleksei (Arutyun),ალეკსან
Шган,SHgan,შოგან
Писарион,Pisarion,ვისარიონ
Шен,SHen,შაენ
Хемед,Hemed,მემედ
Балял,Balyal,ჯალალ
Мариель,Mariel,ტარიელ
Арестадест,Arestadest,არესტაკეს
Алирах,Alirah,ამირან
Виктор (Аветис),Viktor (Avetis),ვიკტორია
Апиоз,Apioz,აფიზ
Мораль,Moral,მარალ
Рождин,Rozhdin,რაჟდინ
Мирдати,Mirdati,მირდატი
Алигейбат,Aligeibat,აგიგათ
Коше,Koshe,მოშე
Шафик,SHafik,შაიკ
Якоб (Яша),YAkob (YAsha),ნატაშა
Барсаш,Barsash,არტაშ
Тургумбай,Turgumbai,ტურგაი
Партель,Partel,პართენ
Камая,Kamaya,კამალა
Юурбан,YUurban,კურბან
Махитарь,Mahitar,მხითარ
Хитуша (Хита),Hitusha (Hita),მიტუშა
Индиктор,Indiktor,ინდიკო
Авелис,Avelis,ავეტის
Никифор (Ника),Nikifor (Nika),ნიკიფორე
Пирибе,Piribe,პირიბე
Гамс,Gams,გაგა
Фраку,Fraku,რაჯუ
Бенс,Bens,ბენო
Злодим,Zlodim,ზოია
Грамири,Gramiri,რამინი
Евлени,Evleni,ევგენი
Опофре,Opofre,ფორე
Макартин,Makartin,მარტინ
Вардиз,Vardiz,ვარდი
Семта,Semta,სემა
Солан,Solan,სოსლან
Багдик,Bagdik,გაგიკ
Росе,Rose,მოსე
Абоса,Abosa,ალისა
Тажудин,Tazhudin,რაჟდინ
Автодей,Avtodei,ანტონი
Романи,Romani,რომანი
Анасон,Anason,ანტონ
Иороди,Iorodi,იროდი
Иуго,Iugo,იაგო
Рогида,Rogida,ოგიდა
Ушаит,Ushait,უშანგ
Галактеон,Galakteon,გალაქტიონ
Вадшап,Vadshap,ვარშამ
Пармак,Parmak,ფარმან
Жалоко,ZHaloko,შალიკო
Варлико,Varliko,ვალიკო
Козум,Kozum,კონულ
Саат,Saat,საათ
Алкпер-Аглы,Alkper-Agli,ვალერიანი
Ладух,Laduh,ლადო
Каматрат,Kamatrat,არარატ
Арзвос,Arzvos,ანზორ
Али-огли,Ali-ogli,ალიბეგი
Сералы,Serali,მერალი
Топос,Topos,ტოროს
Захр,Zahr,ზაურ
Валаган,Valagan,ვაჩაგან
Рамион,Ramion,რამინ
Ивзе,Ivze,ივანე
Сеток,Setok,ქეთო
Квиквани,Kvikvani,ალიხანი
Кандра,Kandra,კანირა
Басентий,Basentii,ბასტი
Вагрит,Vagrit,ვაგით
Гаес,Gaes,გაგა
Хнко,Hnko,ნიკო
Аин,Ain,აინა
Казий,Kazii,კაზიმ
Харлампи,Harlampi,ხარლამპი
Ягнита,YAgnita,ანიტა
Бенат,Benat,ბინათ
Акаки (Акаин),Akaki (Akain),კახრამან
Зейнит,Zeinit,ზეინაბ
Иова,Iova,იონა
Микандо,Mikando,მირანდა
Джожи,Dzhozhi,ჟორჟი
Гуджид,Gudzhid,გულჩინ
Чанжа,CHanzha,ვაჟა
Агасаж,Agasazh,გასან
Пачуа,Pachua,ბაჩუა
Скарпион,Skarpion,სარდიონ
Ларнащ,Larnash',არტაშ
Шаньва,SHanva,შალვა
Назри,Nazri,ნაზი
Калов,Kalov,კარლო
Продьон,Prodon,ფრიდონ
Эзякил,Ezyakil,ზაკირ
Домонти,Domonti,დომენტი
Планат,Planat,ლანა
Райден,Raiden,რაჟდენ
Ашалус,Ashalus,არშალუს
Нязи,Nyazi,ნაზი
Эрды,Erdi,ენდი
Милеян,Mileyan,მილენა
Шамистрал,SHamistral,შამისტან
Асрат-оглы,Asrat-ogli,ანატოლი
Корт,Kort,კობა
Нашян,Nashyan,ნშან
Тиву,Tivu,გივი
Шарафед,SHarafed,შალალე
Загарин,Zagarin,ზაქარია
Меламед,Melamed,მამედ
Аршалук,Arshaluk,არშალუს
Пелянуз,Pelyanuz,ელდანიზ
Леварсон,Levarson,სევარიონ
Мидрап,Midrap,მირა
Шилабарсида,SHilabarsida,შარგია
Генба,Genba,გენია
Менражи,Menrazhi,მერაბი
Холос,Holos,ტოროს
Бабин,Babin,ბაბი
Осиф,Osif,ოლია
Онанес,Onanes,ოგანეს
Гинадий,Ginadii,გენადი
Шуш,SHush,შუშუ
Теунан,Teunan,თეონა
Фария,Fariya,ლარისა
Саргом,Sargom,სერგო
Потова,Potova,ფოთოლა
Захарий (Александр),Zaharii (Aleksandr),ალეკსანდრ
Суму,Sumu,ნუნუ
Шазам,SHazam,შამამ
Шов,SHov,შოთა
Ондра,Ondra,ნორა
Индиен,Indien,ინდირა
Ахиль,Ahil,ადილ
Сарнеки,Sarneki,სარეი
Мам,Mam,რამ
Эрасп,Erasp,რაუფ
Каприель,Kapriel,ტარიელ
Милад,Milad,მილა
Князим,Knyazim,ნაზიმ
Тенгир,Tengir,თენგიზ
Арестид,Arestid,არისტიდ
Каланитион,Kalanition,გალაქტიონ
Ироким,Irokim,იროდი
Цкалова,Ckalova,შალვა
Тионоз,Tionoz,დიანოზ
Лаврси,Lavrsi,ლავროსი
Сину,Sinu,სინა
Гагус,Gagus,გაგა
Ефремий,Efremii,ეფრემი
Котанчи оглы,Kotanchi ogli,ავთანდილი
Кусти,Kusti,კოსტი
Эппальте,Eppalte,ესტატე
Тареус,Tareus,მარუს
Сардан-Або,Sardan-Abo,ნარდანა
Зегурджа,Zegurdzha,ჟუჟა
Атеко,Ateko,ალეკო
Нарей,Narei,ნარი
Наспет,Naspet,ნასლეტ
Александр (Яким),Aleksandr (YAkim),ალექსანდრა
Трифон (Лазарь),Trifon (Lazar),სინაზარ
Чурпень,CHurpen,ჩერმენ
Клеце,Klece,კეკე
Хантемир,Hantemir,არტემი
Полин,Polin,პოლინა
Давид-Датико,David-Datiko,დავითი
Тамуша,Tamusha,თამუშა
Дибирисук,Dibirisuk,დიმიტრი
Турал оглы,Tural ogli,თურალ
Тетаоз,Tetaoz,თედაოზ
Марван,Marvan,მარდან
Кули Азраф,Kuli Azraf,კულარა
Вахтвиш,Vahtvish,ვართუშ
Малакиа,Malakia,მალაქია
Элизо,Elizo,ელიზო
Амбаку,Ambaku,ამბაკო
Джалал-Углы,Dzhalal-Ugli,ძაბული
Цури,Curi,იური
Порукан,Porukan,ფირუზა
Харитонов,Haritonov,ხარიტონ
Нерсек,Nersek,ნერსეს
Ариста,Arista,არიშა
Корсантил,Korsantil,კონსტანტინ
Сестафий,Sestafii,ნესტანი
Шамдин,SHamdin,შამინ
Евлоги,Evlogi,ევლოგი
Мовлуд,Movlud,მოვლუდ
Цикури,Cikuri,იური
Кенадий,Kenadii,გენადი
Граит,Grait,გრანტ
Гугони,Gugoni,გუგული
Нега,Nega,გეგა
Маулут,Maulut,მოვლუთ
Гочо,Gocho,გოჩა
Карлам,Karlam,ვარლამ
Евело,Evelo,ემელო
Чачу,CHachu,ღაღუ
Мих,Mih,მია
Исет,Iset,ისმეტ
Мекертычис,Mekertichis,მკრტიჩ
Якиник,YAkinik,რამინი
Мелкисад,Melkisad,მელიტა
Василей,Vasilei,ვასილი
Еракин,Erakin,რამინ
Шамил-оглы,SHamil-ogli,შამილი
Агамир,Agamir,აგამირ
Шетая,SHetaya,შოთა
Нарсеа,Narsea,არსენ
Миксил,Miksil,მიკაილ
Бухуты,Buhuti,ბუხუტი
Челов,CHelov,ელო
Огалес,Ogales,ოგანეს
Мисли,Misli,მიშა
Камыл,Kamil,კამილ
Исмал,Ismal,ისმაილ
Криматон,Krimaton,გრამიტონ
Багли,Bagli,ბალი
Тороты,Toroti,ტოროს
Аргуш,Argush,არტუშ
Инацеган,Inacegan,ნათევან
Карла (Карл),Karla (Karl),კალამკარ
Ирмия,Irmiya,ირმა
Ахип,Ahip,არიფ
Маружан,Maruzhan,მერუჟან
Реназ,Renaz,რევაზ
Менитон,Meniton,მელიტონ
Кедеун,Kedeun,გედეონ
Милярдзим,Milyardzim,მილვარი
Бидлина,Bidlina,ბიძინა
Кола (Николоз),Kola (Nikoloz),ნიკოლოზ
Ремо,Remo,რემო
Таур,Taur,ზაურ
Кусаим,Kusaim,მუსალიმ
Нартаза,Nartaza,ნარგიზა
Огенз,Ogenz,გენო
Хасько,Hasko,ჰაიკო
Аксим,Aksim,ასიმ
Андрес,Andres,ანდრეი
Крашан,Krashan,რაშად
Асотур,Asotur,ასატურ
Ивле,Ivle,ივანე
Копана,Kopana,ოსანა
Гиргий,Girgii,გიორგი
Ингиштир,Ingishtir,ინგიშთერ
Хару,Haru,ჰურუ
Двонтий,Dvontii,დონარი
Тоупане,Toupane,თურანე
Автаид,Avtaid,ანაიდ
Анемподист,Anempodist,ანფისა
Дезыки,Deziki,დეზიკო
Араноис,Aranois,არამაის
Папуар,Papuar,პაპუნა
Арчиле,Archile,არჩილ
Емони,Emoni,ემენი
Ариль,Aril,არიფ
Фекляр,Feklyar,ელდარ
Сирдо,Sirdo,სიდო
Еси,Esi,ესე
Утажи,Utazhi,ვაჟა
Гамек,Gamek,მამედ
Катико,Katiko,დათიკო
Амув,Amuv,ამურ
Пелагея,Pelageya,პელაგეია
Раджиб,Radzhib,რახიბ
Худжути,Hudzhuti,ბუხუტი
Алеч,Alech,ალეკო
Хтзир,Htzir,ვაზირ
Камандо,Kamando,კამანდარ
Апино,Apino,აფინა
Хватию,Hvatiyu,ვასილ
Северди,Severdi,ალვერდი
Алтандил,Altandil,ავთანდილ
Гиронтий,Girontii,გერონტი
Тазар,Tazar,აზარ
Шоква,SHokva,შოთა
Авдайтум,Avdaitum,ანაიტ
Испирдон,Ispirdon,სპირიდონ
Равель,Ravel,პაველ
Беллаури,Bellauri,ბეგლარი
Валериш,Valerish,ვალერი
Кедеват,Kedevat,გედევან
Джиджико,Dzhidzhiko,ჟიჟიკო
Таймкраз,Taimkraz,თეიმურაზ
Жуту,ZHutu,ჟუტუ
Кристеси,Kristesi,ქრისტესია
Кмалинец,Kmalinec,კარინე
Тарилл,Tarill,ტარიელ
Чеота,CHeota,შოთა
Мяхроли,Myahroli,მეხრალი
Негам,Negam,გეგამ
Амелион,Amelion,ემელიონ
Арисдак,Arisdak,არუსიაკ
Краиш,Kraish,რაისა
Банди,Bandi,ბასდი
Рейваз,Reivaz,რევაზ
Хомнарцум,Homnarcum,ჰამბარცუმ
Виктар,Viktar,ვიკტორ
Эло,Elo,ელო
Зихни,Zihni,ზიხნი
Гриянги,Griyangi,გრანტი
Нусратдин,Nusratdin,ნუსრადინ
Егиязар,Egiyazar,ეგიაზარ
Засиме,Zasime,ზოსიმე
Акиф,Akif,აკიფ
Илем,Ilem,ილია
Сокраб,Sokrab,სოკრატ
Донакан,Donakan,ტონაკან
Хабиб,Habib,ჰაბიბ
Педзино,Pedzino,ფედიკო
Ачасар,Achasar,ბაჩანა
Мчан,Mchan,მეჩან
Аринамос,Arinamos,არინა
Валил,Valil,ვასილ
Хапло,Haplo,თაფლო
Шанви,SHanvi,შანაი
Серотиан,Serotian,სევერიან
Ваино,Vaino,ვანო
Тадиос,Tadios,რადიონ
Арамаесь,Aramaes,არამაის
Саадын,Saadin,სალადინ
Гиорен,Gioren,გიორგი
Терапоп,Terapop,ტრიფონ
Мушель,Mushel,მუშეგ
Шахпендер,SHahpender,შახბენდერ
Мисдуб,Misdub,მინდია
Нестяр,Nestyar,ნესტან
Павла,Pavla,პავლე
Наил,Nail,ნაილ
Танде,Tande,ტანია
Хурцидзе,Hurcidze,ჰურიე
Вагинанк,Vaginank,ვაგინაკ
Ламан,Laman,ლამან
Албеги,Albegi,ალბეგი
Бришекс,Brisheks,გრიშა
Ролик,Rolik,როლიკ
Милигон,Miligon,მილიონ
Абосолон,Abosolon,აბესალომ
Зеба,Zeba,ზერა
Крестофор,Krestofor,ხრისტოფორ
Слейман-оглы,Sleiman-ogli,სულეიმანი
Иппатий,Ippatii,ფატი
Акакит,Akakit,აკაკი
Суврат,Suvrat,სურათ
Валко,Valko,ვალიკო
Аржми,Arzhmi,არტემი
Каспон,Kaspon,კასიონ
Мобби,Mobbi,ბობი
Эбино,Ebino,ელისო
Эжд...,Ezhd...,აჟდარ
Сивирья,Sivirya,ელვირა
Пл.,Pl.,ალა
Хушута,Hushuta,ფუშუთა
Вило,Vilo,ილო
Прафи,Prafi,ფატი
Шимад,SHimad,შამად
Ванг,Vang,ვანო
Ангаш,Angash,ანუშ
Бичинов,Bichinov,ბიჭიკო
Момедаль,Momedal,მამედალი
Гусиди,Gusidi,გულადი
Мильком,Milkom,მილიონ
Отарро,Otarro,ოთარ
Атмоз,Atmoz,ალმაზ
Дзибе,Dzibe,ძაბა
Луахаб (Леонид),Luahab (Leonid),ლეონიდ
Минахмет,Minahmet,მინაიათ
Абаикан,Abaikan,აბაიათ
Каросман,Karosman,ფარსმან
Рапоз,Rapoz,რაფიზ
Герейс,Gereis,გერისო
Теулане,Teulane,თერანე
Титу,Titu,ტიტე
Рафелий,Rafelii,რაული
Тораман-оглы,Toraman-ogli,რომანოზი
Голо,Golo,გულო
Парти,Parti,ფატი
Ираним,Iranim,ირანი
Фарседан,Farsedan,გარსევან
Гуил,Guil,გია
Дзумбат,Dzumbat,გუმბათ
Ибрагимхалил,Ibragimhalil,იბრაგიმხალილ
Анаполисте,Anapoliste,ანატოლი
Эстас,Estas,ნესტან
Шавл,SHavl,შალვა
Герса,Gersa,გერა
Ласи,Lasi,ვლასი
Циколай,Cikolai,ნიკოლაი
Иломе,Ilome,ილონა
Мадьян,Madyan,მადატ
Аппо,Appo,აფო
Хахути,Hahuti,ხათუთი
Давна,Davna,იავნა
Естан,Estan,ნესტან
Поманус,Pomanus,რომანოს
Захади,Zahadi,ზვიადი
Анумеван,Anumevan,ანუშევან
Прок,Prok,ერიკ
Умар-оглы,Umar-ogli,მანოლი
Казим-оглы,Kazim-ogli,ნაზიბროლა
Ираци,Iraci,ირანი
Рапиэл,Rapiel,რაფიელ
Айказон,Aikazon,აიკაზონ
Пашир,Pashir,ბაშირ
Маромиза,Maromiza,მარიზა
Домег,Domeg,ოლეგ
Перзуен,Perzuen,ფერიდე
Мугатдин,Mugatdin,მურადინ
Семлон,Semlon,სემიონ
Вар-лис,Var-lis,ვარული
Сатурнин,Saturnin,სათენიკ
Салашен,Salashen,სალატინ
Вардаш,Vardash,ვარდუშ
Иохан,Iohan,რომან
Аквсента,Akvsenta,აქვსენტი
Елчи-оглы,Elchi-ogli,არჩილი
Вахтангил,Vahtangil,ვახტანგი
Бернай,Bernai,ერნა
Вильсон,Vilson,ვილსონ
Арасим,Arasim,რასიმ
Гарыгин,Garigin,გარეგინ
Киракот,Kirakot,კირაკოს
Тосу,Tosu,თოთუ
Беско,Besko,ბესო
георг,georg,გეორგ
Ерости,Erosti,ერასტი
Шакир оглы,SHakir ogli,შამილი
Дианид,Dianid,დიანა
Торенти,Torenti,ტერენტი
Никифорс,Nikifors,ნიკიფორე
Аргалус,Argalus,არშალუს
Артанос,Artanos,ათანას
Либарид,Libarid,ლიბარიტ
Зейраб,Zeirab,ზეინაბ
Ипполитт,Ippolitt,იპოლიტე
Андыказав,Andikazav,ინდიანა
Камисар,Kamisar,კამსარ
Ирахлид,Irahlid,ირაკლი
Чрчанак,CHrchanak,ჩიჩაკ
Свирем,Svirem,შირიმ
Меликат,Melikat,მელიტა
Матанти,Matanti,მამანტი
Силло,Sillo,სილვა
Ареана,Areana,არიანა
Галакитион,Galakition,გალაქტიონ
Поле,Pole,ფილე
Тадгига,Tadgiga,სადიგა
Чалунскин,CHalunskin,ჭაბუკი
Азоки,Azoki,აკაკი
Сереп,Serep,სეროპ
Реген,Regen,რუბენ
Перешан,Pereshan,პარიშან
Шахмагомед,SHahmagomed,მაგომედ
Ахмед (Гюльмамед),Ahmed (Gyulmamed),გიულმამედ
Шимат,SHimat,შამათ
Эрмелос,Ermelos,ერმალო
Екназ.,Eknaz.,ელნაზ
Калыник,Kalinik,კალენიკე
Мушабари,Mushabari,მუშაფარიმ
Егиги,Egigi,გიგი
Шалило,SHalilo,შალიკო
Сил.,Sil.,სილვა
Аликсанд,Aliksand,ალიხან
Печиков,Pechikov,ფაჩიკო
Халды,Haldi,ჰალეი
Ихан,Ihan,ივან
Умран,Umran,იმრან
Никич,Nikich,მიკიჩ
Коцоц,Kococ,კოჩა
Танчук,Tanchuk,ბაჩუკ
Сали-оглы,Sali-ogli,საიალი
Кригол,Krigol,გრიგოლ
Юсеп,YUsep,უსუპ
Серия,Seriya,ბერიკა
Хину,Hinu,თინა
Гахи,Gahi,გარი
Всеволод (Владимир),Vsevolod (Vladimir),ვლადიმირ
Джанид,Dzhanid,ჟანი
Мамеди,Mamedi,მამედი
Танев,Tanev,ტანია
Вендемин,Vendemin,ვენიამინ
Полестин,Polestin,ვალენტინ
Савриил,Savriil,გავრილ
Чалин,CHalin,ხალილ
Федар (Федор),Fedar (Fedor),დარეჯან
Олисме,Olisme,ონისე
Темболат,Tembolat,ჯამბულატ
Кицастюн,Kicastyun,აიასტან
Китам,Kitam,კიტა
Кошта,Koshta,კოხტა
Винат-ага,Vinat-aga,ნათიგა
Шахсаза,SHahsaza,შახსადა
Моршиан,Morshian,მირიან
Миниахмет,Miniahmet,მირიანე
Кидиван,Kidivan,მირიან
Татья,Tatya,თათია
Шелве,SHelve,შალვა
Аданас,Adanas,ათანას
Нищан,Nish'an,აიშან
Милва,Milva,სილვა
Илоарион,Iloarion,ილარიონ
Педри,Pedri,ფერი
Арсуп,Arsup,არტურ
Милазли,Milazli,მირალი
Кирагос,Kiragos,კირაკოს
Аремат,Aremat,არევატ
Трофон,Trofon,ტრიფონ
Зуумбак,Zuumbak,გუმბათ
Магди,Magdi,მაგდა
Месрой,Mesroi,მესროფ
Пикелды,Pikeldi,ფიდელი
Мортаг,Mortag,მურთაზ
Эзаик,Ezaik,ერიკ
Адако,Adako,ადიკო
Аргильдан,Argildan,ნარგილა
Кнедара,Knedara,ნოდარ
Сониил,Soniil,სონია
Сриб,Srib,საიბ
Асонес,Asones,ასანეთ
Радмир,Radmir,რამინ
Байдар оглы,Baidar ogli,ბაირამალი
Колту,Koltu,კოტე
Раин,Rain,როინ
Иовн,Iovn,როინ
Бахело,Bahelo,ბაბილო
Ясол,YAsol,ვასილ
Награм,Nagram,ვაგრამ
Гарум,Garum,ქარუმ
Бахмар,Bahmar,ბაჰმან
Лейло,Leilo,ლეილი
Валугиян,Valugiyan,ვალერიან
Бесарий,Besarii,ბესარიონ
Елетер,Eleter,ელეფთერ
Табтрауф,Tabtrauf,თათია
Ксей,Ksei,ასლი
Ангон,Angon,ანტონ
Самуйл,Samuil,სამუილ
Егисапет,Egisapet,ეგისაპეტ
Самсет,Samset,სამველ
Утчи,Utchi,უჩა
