rus,en,matched
Карп,Karp,კარა
Ленто,Lento,ლენტო
Минаго,Minago,მინაგო
Валодя,Valodya,ვალოდია
Трофим,Trofim,როინ
Хорен,Horen,ხორენ
Мосе,Mose,მოსე
Агаси,Agasi,აგასი
Елизбар,Elizbar,ელიზბარ
Сограт,Sograt,სოგრატ
Баград,Bagrad,ბაგრად
Арон,Aron,არონ
Дианоз,Dianoz,დიანოზ
Ника,Nika,ნიკა
Павле,Pavle,პავლე
Пантелей,Pantelei,პანტელეი
Мкртыч,Mkrtich,მკრტიჩ
Лазарь,Lazar,ლაზარ
Паша,Pasha,პაშა
Партен,Parten,პართენ
Индико,Indiko,ინდიკო
Иродий,Irodii,იროდი
Севериан,Severian,სევერიან
Карум,Karum,კასუმ
Габриел,Gabriel,გაბრიელ
Лео,Leo,ლეო
Магомед,Magomed,მაგომედ
Амвросий,Amvrosii,ამბროსი
Васили,Vasili,ვასილი
Влас,Vlas,ვლასი
Митуша,Mitusha,მიტუშა
Мамикон,Mamikon,მამიკონ
Колия,Koliya,კოლია
Доменти,Domenti,დომენტი
Абесалом,Abesalom,აბესალომ
Арут,Arut,არუთ
Аквсенти,Akvsenti,აქვსენტი
Гигуца,Giguca,გიგა
Сетрак,Setrak,სეტრაკ
Валодия,Valodiya,ვალოდია
Минас,Minas,მინას
Влад.,Vlad.,ვლადა
Василь,Vasil,ვასილ
Ник.,Nik.,ნიკა
В.,V.,ევა
Дата,Data,დათა
Бесо,Beso,ბესო
Жорж,ZHorzh,ჟორჟ
Венедикт,Venedikt,ვენედიკ
Валериян,Valeriyan,ვალერიან
Генадий,Genadii,გენადი
Армен,Armen,არმენ
Даниил,Daniil,დანიილ
Аветис,Avetis,ავეტის
М.,M.,ემა
Ирод,Irod,იროდ
Солико,Soliko,სოლიკო
Власи,Vlasi,ვლასი
Али-оглы,Ali-ogli,ალიბეგი
Г.,G.,გია
Тараси,Tarasi,ტარასი
Мамед-оглы,Mamed-ogli,მამედალი
Наскид,Naskid,რაშიდ
Мина,Mina,მინა
Амроси,Amrosi,ამროსი
Миха,Miha,მიშა
Лади,Ladi,ლადი
Мелик,Melik,მელიკ
Мириан,Mirian,მირიან
Ирадион,Iradion,ირადიონ
Рафаил,Rafail,რაფაილ
Вагаршак,Vagarshak,ვაგარშაკ
Пимен,Pimen,პიმენ
Дуру,Duru,დურუ
Варлаам,Varlaam,ვარლამ
Иване,Ivane,ივანე
Гусейн,Gusein,გუსეინ
Иса,Isa,ისა
Филип,Filip,ფილიპ
Байрам,Bairam,ბაირამ
Саак,Saak,სააკ
Тариел,Tariel,ტარიელ
Титико,Titiko,ტიტიკო
Лексо,Lekso,ლექსო
Айк,Aik,აიკ
Шата,SHata,შოთა
Фома,Foma,თომა
Седрак,Sedrak,სედრაკ
Ерасти,Erasti,ერასტი
Хута,Huta,ხუტა
Галуст,Galust,გალუსტ
Мартирос,Martiros,მარტიროს
Курбан,Kurban,კურბან
Иля,Ilya,ილია
Игнат,Ignat,იგნატ
Ваня,Vanya,ვანდა
И.,I.,ლია
Петре,Petre,პეტრე
Давит,Davit,დავით
Ардаш,Ardash,არტაშ
Шото,SHoto,შოთა
Самуил,Samuil,სამუილ
Амброс,Ambros,ამბროს
Гасан,Gasan,გასან
Нерсес,Nerses,ნერსეს
Аким,Akim,აკიმ
Аккакий,Akkakii,აკაკი
Дарчо,Darcho,დარჩო
Иовел,Iovel,იოველ
Арсентий,Arsentii,არსენი
Беглар,Beglar,ბეგლარ
Евстафий,Evstafii,ევსტაფი
Ислам,Islam,ისლამ
Якоб,YAkob,იაკობ
Севарион,Sevarion,სევარიონ
Онисим,Onisim,ონისიმე
Георг.,Georg.,გეორგი
Феодор,Feodor,ფეოდორ
Иорам,Ioram,იორამ
Омар,Omar,ომარ
Шамиль,SHamil,შამილ
Амросий,Amrosii,ამროსი
Анисим,Anisim,ანისია
Амберки,Amberki,ამბერკი
Димитри,Dimitri,დიმიტრი
Наум,Naum,ნაუმ
Алиоша,Aliosha,ალიოშა
Мурад,Murad,მურად
Шукри,SHukri,შუქრი
Д.,D.,ადა
Кита,Kita,კიტა
Ваничка,Vanichka,ვანიჩკა
Гайк,Gaik,გაიკ
Герваси,Gervasi,გერვასი
Жоржи,ZHorzhi,ჟორჟი
Теофил,Teofil,თეოფილე
Бесарион,Besarion,ბესარიონ
Вениамин,Veniamin,ვენიამინ
Хусейн,Husein,ჰუსეინ
Саба,Saba,საბა
Джамал,Dzhamal,ზამალ
Мухамед,Muhamed,მუხამედ
Ион,Ion,იონა
Грант,Grant,გრანტ
Игорь,Igor,იგორ
Еристо,Eristo,ერისტო
Абел,Abel,აბელ
Махмуд,Mahmud,მაჰმუდ
Родион,Rodion,როდიონ
Савелий,Savelii,საველი
Гено,Geno,გენო
Ахмет,Ahmet,ახმეტ
Ованес,Ovanes,ოვანეს
Геворг,Gevorg,გევორგ
Серафим,Serafim,სერაფიმ
С.,S.,ისა
